Module,BSS (bytes),Data (bytes),CCMRAM (bytes),Total (bytes)
Other,141844,1732,37024,180600
Services/looper,42287,30,28832,71149
Services/patch,43396,232,0,43628
Services/cli,13067,2112,0,15179
Middlewares,13899,36,0,13935
Services/cc_smoother,10296,20,0,10316
Hal/oled_ssd1322,0,0,8192,8192
Services/ui,6987,96,0,7083
App,6429,245,0,6674
Services/router,5128,0,0,5128
Services/program_change_mgr,4744,0,0,4744
USB,3304,420,0,3724
Services/note_stabilizer,2664,0,0,2664
Services/log,2306,0,0,2306
Services/gate_time,2116,12,0,2128
Services/ain,2052,0,0,2052
Services/midi_monitor,1840,0,0,1840
Services/midi,1447,0,0,1447
Core,1313,8,0,1321
Services/usb_midi,1276,44,0,1320
Services/quantizer,1120,52,0,1172
Services/bellows_shake,1116,0,0,1116
Services/ainser,1092,0,0,1092
Hal/uart_midi,1088,0,0,1088
Services/performance,1026,0,0,1026
Services/channelizer,784,36,0,820
Services/din,772,0,0,772
Services/legato,580,24,0,604
Services/assist_hold,552,20,0,572
Services/input,527,2,0,529
Services/test,353,12,0,365
Services/one_finger_chord,288,16,0,304
Services/bootloader,273,0,0,273
Services/register_coupling,152,64,0,216
Services/midi_filter,128,72,0,200
Services/swing,112,42,0,154
Services/dout,138,0,0,138
Services/module_registry,133,0,0,133
Services/srio,130,0,0,130
Services/config_io,129,0,0,129
Services/note_repeat,88,34,0,122
Services/bellows_expression,120,0,0,120
Services/envelope_cc,100,20,0,120
Services/scale,0,108,0,108
Services/harmonizer,60,44,0,104
Services/lfo,96,6,0,102
Services/chord,16,68,0,84
Services/midi_converter,44,32,0,76
Services/musette_detune,44,28,0,72
Services/rhythm_trainer,71,0,0,71
Services/velocity_compressor,28,40,0,68
Services/strum,24,28,0,52
Services/arpeggiator,46,2,0,48
Services/bass_chord_system,28,20,0,48
Services/zones,48,0,0,48
Drivers,4,37,0,41
Services/nrpn_helper,40,0,0,40
Services/expression,37,1,0,38
Services/dream,33,0,0,33
Services/pressure,32,0,0,32
Services/usb_host_midi,0,32,0,32
Services/metronome,9,17,0,26
Services/instrument,24,0,0,24
Services/livefx,24,0,0,24
FATFS,1,22,0,23
Services/footswitch,21,0,0,21
Services/router_hooks,20,0,0,20
Hal/spi_bus.o,8,8,0,16
Hal/ainser64_hw,10,1,0,11
Services/system,6,1,0,7
Services/humanize,0,4,0,4
Services/safe,2,1,0,3
Services/fs,2,0,0,2
Hal/delay_us.o,1,0,0,1
